,datetime,year,month,day,hour,minutes,temp,hum,rain
3,"{u'mday': u'07', u'hour': u'01', u'min': u'30', u'mon': u'08', u'pretty': u'1:30 AM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,1,30,20.0,68,0
4,"{u'mday': u'07', u'hour': u'02', u'min': u'00', u'mon': u'08', u'pretty': u'2:00 AM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,2,0,20.0,73,0
5,"{u'mday': u'07', u'hour': u'02', u'min': u'30', u'mon': u'08', u'pretty': u'2:30 AM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,2,30,20.0,73,0
6,"{u'mday': u'07', u'hour': u'03', u'min': u'00', u'mon': u'08', u'pretty': u'3:00 AM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,3,0,19.0,78,1
7,"{u'mday': u'07', u'hour': u'03', u'min': u'30', u'mon': u'08', u'pretty': u'3:30 AM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,3,30,19.0,83,0
8,"{u'mday': u'07', u'hour': u'04', u'min': u'00', u'mon': u'08', u'pretty': u'4:00 AM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,4,0,19.0,78,0
9,"{u'mday': u'07', u'hour': u'04', u'min': u'30', u'mon': u'08', u'pretty': u'4:30 AM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,4,30,19.0,78,0
10,"{u'mday': u'07', u'hour': u'05', u'min': u'00', u'mon': u'08', u'pretty': u'5:00 AM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,5,0,19.0,78,0
11,"{u'mday': u'07', u'hour': u'05', u'min': u'30', u'mon': u'08', u'pretty': u'5:30 AM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,5,30,19.0,78,0
12,"{u'mday': u'07', u'hour': u'06', u'min': u'00', u'mon': u'08', u'pretty': u'6:00 AM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,6,0,19.0,78,0
13,"{u'mday': u'07', u'hour': u'06', u'min': u'30', u'mon': u'08', u'pretty': u'6:30 AM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,6,30,19.0,78,0
14,"{u'mday': u'07', u'hour': u'06', u'min': u'35', u'mon': u'08', u'pretty': u'6:35 AM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,6,35,19.0,78,0
15,"{u'mday': u'07', u'hour': u'07', u'min': u'04', u'mon': u'08', u'pretty': u'7:04 AM CEST on August 07, 2009', u'year': u'2009', u'tzname': u'Europe/Paris'}",2009,8,7,7,4,19.0,78,0
